Fecha,Temperatura media Cº
9/2/2021,20.2
10/2/2021,21.6
11/2/2021,18.1
12/2/2021,20.2
13/2/2021,19.1
14/2/2021,17.8
15/2/2021,17.4
16/2/2021,15.7
17/2/2021,17.6
18/2/2021,17.8
19/2/2021,19.3
20/2/2021,21.1
21/2/2021,20.2
22/2/2021,19.8
23/2/2021,21.5
24/2/2021,21.3
25/2/2021,19.9
26/2/2021,20.8
27/2/2021,21.5
28/2/2021,22.8
1/3/2021,20.9
2/3/2021,20
3/3/2021,21.8
4/3/2021,23.4
5/3/2021,20.8
6/3/2021,20.2
7/3/2021,22
8/3/2021,24
9/3/2021,21.4
10/3/2021,19.2
11/3/2021,19.3
12/3/2021,21.5
13/3/2021,19.5
14/3/2021,18.2
15/3/2021,15
16/3/2021,17.1
17/3/2021,17.7
18/3/2021,14.4
19/3/2021,14.7
20/3/2021,16
21/3/2021,16.8
22/3/2021,17.7
23/3/2021,18.5
24/3/2021,17.8
25/3/2021,14.8
26/3/2021,15.3
27/3/2021,17.6
28/3/2021,17.8
29/3/2021,14.8
30/3/2021,15.4
31/3/2021,15.9
1/4/2021,14.5
2/4/2021,15.2
3/4/2021,17.6
4/4/2021,15
5/4/2021,15.6
6/4/2021,16
7/4/2021,16.7
8/4/2021,17.4
9/4/2021,14.7
10/4/2021,15
11/4/2021,15.3
12/4/2021,16.8
13/4/2021,18.1
14/4/2021,16.8
15/4/2021,16.4
16/4/2021,17.3
17/4/2021,14.6
18/4/2021,14.5
19/4/2021,13.8
20/4/2021,13.3
21/4/2021,15.8
22/4/2021,13.1
23/4/2021,12.1
24/4/2021,14.3
25/4/2021,13.8
26/4/2021,14.5
27/4/2021,13
28/4/2021,13.6
29/4/2021,13.7
30/4/2021,11.8
1/5/2021,11.2
2/5/2021,13.4
3/5/2021,12.7
4/5/2021,11.4
5/5/2021,12.2
6/5/2021,13.4
7/5/2021,13.8
8/5/2021,11.9
9/5/2021,12.7
10/5/2021,11.7
11/5/2021,12
12/5/2021,12.2
13/5/2021,11.6
14/5/2021,13.8
15/5/2021,13.5
16/5/2021,11.8
17/5/2021,14.9
18/5/2021,10.4
19/5/2021,12.5
20/5/2021,9.5
21/5/2021,10.1
22/5/2021,7.7
23/5/2021,8.1
24/5/2021,11.5
25/5/2021,11.1
26/5/2021,11
27/5/2021,11.2
28/5/2021,12.8
29/5/2021,10.2
30/5/2021,11
31/5/2021,14
1/6/2021,14.5
2/6/2021,14.8
3/6/2021,14.1
4/6/2021,12.5
5/6/2021,13.9
6/6/2021,12
